post_id,platform,post_text,hashtags,timestamp,image_url,likes,comments,author
h19gi6b4I6g,YouTube,Discover the SuperTrend AI (Clustering) indicator by LuxAlgo—a powerful fusion of traditional trend tracking and machine ...,,2025-05-20T12:35:35Z,thumbnails\h19gi6b4I6g.jpg,59,15,PineTrades
vdRp_w9f-qM,YouTube,Get notified of the free Python course on the home page at https://www.coursesfromnick.com Sign up for the Full Stack course ...,,2023-01-24T02:32:13Z,thumbnails\vdRp_w9f-qM.jpg,58491,197,Nicholas Renotte
ukzFI9rgwfU,YouTube,Artificial Intelligence Engineer (IBM) ...,,2018-09-19T14:57:02Z,thumbnails\ukzFI9rgwfU.jpg,63492,2125,Simplilearn
_3pgLrYWZfo,YouTube,,,2024-02-15T06:55:00Z,thumbnails\_3pgLrYWZfo.jpg,4894,38,Math360
qYNweeDHiyU,YouTube,Want to learn about AI agents and assistants? Register for Virtual Agents Day here → https://ibm.biz/BdaAVa Want to play with the ...,,2024-08-05T11:00:52Z,thumbnails\qYNweeDHiyU.jpg,42692,1034,IBM Technology
PopKlyqTPAI,YouTube,"AI vs ML vs DL vs DS: What's the Difference? Confused about Artificial Intelligence (AI), Machine Learning (ML), Deep Learning ...",,2025-01-25T03:30:15Z,thumbnails\PopKlyqTPAI.jpg,25140,60,GeeksforGeeks
9gGnTQTYNaE,YouTube,Learn about watsonx: https://ibm.biz/BdvxRR What is Machine Learning and how do businesses leverage it today? How does ...,,2021-07-14T14:07:15Z,thumbnails\9gGnTQTYNaE.jpg,5055,74,IBM Technology
GXxjd1za6jk,YouTube,Introduction to Statistical Learning: https://statlearning.com Take my courses at https://mlnow.ai/! Best Courses for Analytics: ...,,2022-04-20T18:16:10Z,thumbnails\GXxjd1za6jk.jpg,57129,284,Greg Hogg
Ot3fKiHZaCo,YouTube,"Welcome back to AI AWAKEN! In this episode, we're diving into the fascinating world of Machine Learning (ML). You've probably ...",,2025-05-17T19:15:25Z,thumbnails\Ot3fKiHZaCo.jpg,2,0,AI AWAKEN
PeMlggyqz0Y,YouTube,Machine Learning is the process of teaching a computer how perform a task with out explicitly programming it. The process feeds ...,,2021-09-09T17:31:56Z,thumbnails\PeMlggyqz0Y.jpg,33078,498,Fireship
FbtYxPUrhq8,YouTube,Comp Sci vs AI vs ML vs Gen AI ‼️ #ai #tech #ml #fyp.,"#ai,#tech,#ml,#fyp.",2025-03-14T21:00:11Z,thumbnails\FbtYxPUrhq8.jpg,2801,37,Sajjaad Khader
5xp0taGM3Kg,YouTube,start your deep learning journey with andrew ng here: https://shorturl.at/tVYLW in this 2 part series Andrew Ng explains how he ...,,2023-03-14T21:39:04Z,thumbnails\5xp0taGM3Kg.jpg,30907,134,Data Sensei
i_LwzRVP7bg,YouTube,Learn Machine Learning in a way that is accessible to absolute beginners. You will learn the basics of Machine Learning and how ...,,2022-09-26T16:00:28Z,thumbnails\i_LwzRVP7bg.jpg,87943,1931,freeCodeCamp.org
CxT5DVZmWCU,YouTube,artificialintelligence #machinelearning #deeplearning.,"#machinelearning,#deeplearning.",2023-12-20T08:00:51Z,thumbnails\CxT5DVZmWCU.jpg,4039,7,CareerRide
7IgVGSaQPaw,YouTube,Go from zero to a machine learning engineer in 12 months. This step-by-step roadmap covers the essential skills you must learn ...,,2024-07-18T13:00:06Z,thumbnails\7IgVGSaQPaw.jpg,17808,524,Programming with Mosh
7gEzEAIELgQ,YouTube,"In this video, we learn about Machine learning in 30 seconds: What is meant by machine learning? Just like a toddler learns that ...",,2023-05-17T14:45:24Z,thumbnails\7gEzEAIELgQ.jpg,42046,153,Error Makes Clever
q6kJ71tEYqM,YouTube,Learn about watsonx → https://ibm.biz/BdvxDm Get a unique perspective on what the difference is between Machine Learning ...,,2022-03-31T11:00:32Z,thumbnails\q6kJ71tEYqM.jpg,25480,260,IBM Technology
Z4dNMYj-bPk,YouTube,start your deep learning journey with andrew ng here: https://shorturl.at/tVYLW in this 2 part series Andrew Ng explains how he ...,,2023-07-22T17:29:52Z,thumbnails\Z4dNMYj-bPk.jpg,3074,20,Data Sensei
HpXa68RgeSc,YouTube,,,2024-02-13T21:12:14Z,thumbnails\HpXa68RgeSc.jpg,711,9,Francisco Erramuspe
RF53NPPhBmE,YouTube,Get notified of the free Python course on the home page at https://www.coursesfromnick.com Sign up for the Full Stack course ...,,2023-03-09T01:42:33Z,thumbnails\RF53NPPhBmE.jpg,9050,92,Nicholas Renotte
h0e2HAPTGF4,YouTube,"MIT 6.0002 Introduction to Computational Thinking and Data Science, Fall 2016 View the complete course: ...",,2017-05-19T14:22:40Z,thumbnails\h0e2HAPTGF4.jpg,24645,457,MIT OpenCourseWare
FZmR_m0KuC8,YouTube,"Day 6 : Welcome to Day 6 of our 30 Days 30 Terms Series! Today, we're breaking down the differences between Machine ...",,2023-11-20T12:30:12Z,thumbnails\FZmR_m0KuC8.jpg,8354,137,Error Makes Clever
OgNRbrXNBsk,YouTube,,,2025-05-11T06:29:01Z,thumbnails\OgNRbrXNBsk.jpg,20,0,World gallery 
yN7ypxC7838,YouTube,Get Certified in Artificial Intelligence & Machine Learning. Both tech and Non-Tech can apply! 10% off on AI Certifications.,,2020-05-16T01:59:09Z,thumbnails\yN7ypxC7838.jpg,32457,430,Learn with Whiteboard
-8qzzN7CWxA,YouTube,This isn't a career most will succeed in.,,2022-12-09T16:09:24Z,thumbnails\-8qzzN7CWxA.jpg,2523,223,the data janitor
E0Hmnixke2g,YouTube,All Machine Learning algorithms intuitively explained in 17 min ######################################### I just started ...,#########################################,2024-09-17T08:57:32Z,thumbnails\E0Hmnixke2g.jpg,37680,293,Infinite Codes
vNY-BET-0K0,YouTube,,,2022-08-12T16:15:11Z,thumbnails\vNY-BET-0K0.jpg,25305,91,Coding with Lewis
4RixMPF4xis,YouTube,Learn more about watsonx: https://ibm.biz/BdvxDS What is really the difference between Artificial intelligence (AI) and machine ...,,2023-04-10T11:00:03Z,thumbnails\4RixMPF4xis.jpg,40582,875,IBM Technology
Fa_V9fP2tpU,YouTube,All Basic Machine Learning Terms Explained in 22 Minutes ######################################### I just started my ...,#########################################,2024-11-27T21:26:58Z,thumbnails\Fa_V9fP2tpU.jpg,9317,98,Infinite Codes
5q87K1WaoFI,YouTube,WIRED has challenged computer scientist and Hidden Door cofounder and CEO Hilary Mason to explain machine learning to 5 ...,,2021-08-18T16:00:08Z,thumbnails\5q87K1WaoFI.jpg,69936,2210,WIRED
